gauge_id,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban
55018,0.0496,0.4936,0.443,0.0003,0.0128
55021,0.1471,0.2739,0.5426,0.0263,0.0093
55023,0.1052,0.2962,0.5205,0.056,0.0167
55025,0.059,0.1472,0.7513,0.0217,0.0114
55026,0.1405,0.0427,0.7062,0.1057,0.0046
55029,0.0935,0.3548,0.464,0.0778,0.0093
55032,0.0273,0.0003,0.5852,0.3499,0.0007
56001,0.1119,0.0813,0.6936,0.0901,0.0182
56002,0.1876,0.0467,0.4422,0.1634,0.1557
56007,0.0507,0.013,0.9263,0.0049,0.0044
56012,0.1928,0.0467,0.4394,0.3163,0.0033
56013,0.0476,0.007,0.894,0.047,0.0045
57004,0.2573,0.0193,0.4891,0.0961,0.1345
57005,0.225,0.014,0.53,0.1065,0.1168
57006,0.2588,0.0105,0.4733,0.1128,0.1424
57007,0.1741,0.0096,0.5806,0.1296,0.0919
